name,maker,category,hull_type,loa_m,beam_m,draft_m,weight_light_kg,weight_full_kg,payload_kg,speed_max_ms,speed_cruise_ms,source_url,source_grade,cross_verified,collected_date,notes
Otter,Maritime Robotics,survey,catamaran,2.0,1.08,,62.0,92,30.0,2.31,1.03,https://www.maritimerobotics.com/otter,A,True,2026-07-26,만재중량=자중+최대탑재 계산값. 순항 2kn(항속 20h 기준). 흘수 비공개
Z-Boat 1800,Teledyne Oceanscience,survey,monohull,1.8,0.9,,30.0,50,20.0,2.06,1.54,https://www.teledynemarine.com/en-us/products/SiteAssets/Oceanscience/Z-Boat%201800-T%20Data%20Sheet-2021.pdf,A,True,2026-07-26,만재중량=자중+최대탑재 계산값. 표준형 기준(HS 변형 제외)
SL20,OceanAlpha,survey,monohull,1.05,0.55,0.15,17.0,27,10.0,4.12,1.54,https://oceanalpha.com/product-item/sl20/,A,True,2026-07-26,만재중량=자중+최대탑재 계산값. 워터젯. 최대 8kn은 활주 영역(Fn 1.28). 선형타입은 제품 사진 근거
SL40,OceanAlpha,survey,monohull,1.65,0.55,0.15,42.0,67,25.0,5.14,1.54,https://oceanalpha.com/product-item/sl40/,A,True,2026-07-26,만재중량=자중+최대탑재 계산값. 워터젯. 최대 10kn은 활주 영역. 선형타입은 제품 사진 근거
EchoBoat-160,Seafloor Systems,survey,monohull,1.7,0.8,,50.0,77,27.0,1.54,1.03,https://www.seafloorsystems.com/echoboat-160,A,True,2026-07-26,만재중량=자중+최대탑재 계산값. 구세대 자료(45kg)와 불일치 → 제조사 현행(50kg) 우선. 선형타입은 단일 선체 서술·제품 사진 근거
Apache 3 Pro,CHCNAV,survey,monohull,1.05,0.55,0.09,10.0,40,30.0,6.0,,https://www.chcnav.com/product-detail/apache3-pro-usv,A,True,2026-07-26,자중은 센서·배터리 제외 기준. 만재=자중+최대탑재 계산값. 최대 6 m/s는 활주 영역(Fn 1.87). 선형타입은 단일 선체 서술·제품 사진 근거
L25,OceanAlpha,survey,catamaran,7.5,2.8,,2400.0,2600,200.0,5.14,2.57,https://www.oceanalpha.com/marine-survey/l25-usv/,A,True,2026-07-26,만재중량=자중+최대탑재 계산값. 디젤 쌍동선. 순항은 작업속도 4~6kn 중앙값. 흘수 비공개
L30,OceanAlpha,patrol,monohull,7.5,2.6,0.6,,4500,300.0,18.52,12.86,https://oceanalpha.com/wp-content/uploads/2025/09/L30-OceanAlpha.pdf,A,True,2026-07-26,"공식 PDF로 정정(07-31): 폭 2.8→2.6, 탑재 300kg, 최대 36kn, 항속기준 25kn=순항. 중량 4.5t은 만재 기준. 알루미늄 deep-V 활주, 연료 700L"
Mariner X,Maritime Robotics,workboat,monohull,9.0,2.5,0.6,4500.0,5500,1000.0,6.17,1.54,https://www.maritimerobotics.com/mariner-x,A,True,2026-07-27,만재=자중+탑재 계산값(연료 미상). 탑재 1t+ 공표의 하한 기록. 뒷갑판 작업용 다목적 — workboat 분류 근거. 선형타입 미확인 | 선형타입 확인(07-31): 공식 페이지 'polyethylene hull'·평바닥 단동 서술
M75,OceanAlpha,patrol,monohull,5.5,1.75,0.42,,1200,,12.86,10.29,https://oceanalpha.com/wp-content/uploads/2025/09/M75-OceanAlpha.pdf,A,True,2026-07-31,"공식 PDF. 중량 1.2t 기준 미상(만재 추정 기록). 탑재 비공개. 순항=항속기준 20kn. 탄소섬유, 디젤 워터젯, 활주 단동(사진 근거)"
Mariner,Maritime Robotics,workboat,monohull,5.98,2.7,,2000.0,2400,400.0,12.35,2.06,https://www.maritimerobotics.com/mariner,A,True,2026-07-31,"공식 페이지. 만재=자중+최대탑재 계산값. 순항 4kn(항속 50h 기준). PE 작업정 선체(Polarcirkel), 워터젯. 흘수 비공개"
Inspector 90,Exail,patrol,monohull,9.2,2.9,0.6,,8000,900.0,16.46,,https://www.exail.com/fr/media-file/9720/datasheet-inspector-90.pdf,A,True,2026-07-31,"공식 데이터시트(2025-09 V4). 만재 8t(max weight). 알루미늄, 디젤2+워터젯, 활주 단동(사진 근거). 항속 40h는 속도 기준 비공개라 순항 미기입. MCM·경비 다목적 — patrol 분류"
DriX H-8,Exail,survey,monohull,7.71,0.824,,,1380,,7.20,3.60,https://www.exail.com/product/drix-h8-medium-range-usv,A,True,2026-08-07,공개 흘수 2.0m는 곤돌라(수중 킬) 포함 — 선체 흘수 아님이라 빈칸 (검증기 B/T 격리가 잡아줌). 배수량 1.38t(사양 표기). payload 미공개=빈칸. 순항 7kn 표준·최고 14kn
C-Worker 7,L3Harris ASV,workboat,monohull,7.5,2.3,,,4900,500,3.09,1.80,https://www.unmannedsystemstechnology.com/wp-content/uploads/2013/12/C-Worker-7-DataSheet-Final.pdf,A,True,2026-08-07,제조사 데이터시트 PDF 직접. 4900kg=만재연료 포함·payload 제외. 순항 3-4kn 중앙 3.5kn 환산. draft 미공개=빈칸
DriX O-16,Exail,survey,monohull,15.7,1.83,,,10500,,8.23,,https://www.exail.com/product/drix-o-16,A,기하는 제품 페이지 직접 확인 (08-07). 공개 흘수 2.55m는 곤돌라 포함 추정이라 빈칸 (H-8 전례). 속도는 제품군 표 "< 16 kn" 상한 표기 → 8.23 m/s 보수 등록 (오너 수집 검증)
Sounder,Kongsberg,survey,monohull,7.99,2.14,,,4845,,4.63,,https://www.kongsberg.com/globalassets/kongsberg/1.-what-we-do/2.-ocean-space/1.-autonomous-and-uncrewed-solutions/sounder/with-gondola/sounder_wgondola_datasheet_110-0101934a.pdf,A,데이터시트 원문 확인 (08-07): 7.99/2.14/4845kg/9kn. 단일 표기 Weight(만재/자중 구분 미공개) — 만재 열 기재. payload·순항 미공개
Mariner,Maritime Robotics,survey,monohull,5.98,2.7,,2000,2400,400,12.35,2.06,https://www.maritimerobotics.com/mariner,A,제품 페이지 확인 (08-07): 5980/2700mm·자중 2000·payload 400·24kn. 만재 2400=자중+최대탑재 계산값 (Otter 관례). 순항 2.06=연료 문맥 4kn 환산
BlueBoat,Blue Robotics,survey,catamaran,1.2,0.93,0.32,14.5,29.5,15,3.0,,https://bluerobotics.com/store/boat/blueboat/blueboat/,A,제품 페이지 확인 (08-07). 첫 소형 쌍동 등록. draft 0.32=최대 적재 시. 자중 14.5(배터리 제외)·만재 29.5=자중+탑재 계산값 (배터리 별도 주의)
Voltari Patrol 28,Voltari,patrol,monohull,8.81,2.77,0.81,,3175,,22.35,,https://voltarielectric.com/pages/voltari-commercial-vessels,A,False,2026-08-11,"Voltari Patrol 26/28 전기 순찰정 (168kWh 배터리·24° deep-V). LOA 28'11""=8.81·beam 9'1""=2.77·draft 32""=0.81·7000lbs=3175kg·50+mph=22.35 m/s. 공식 상품 페이지 직접 확인. 순항속도·payload 미공개=빈칸. 블로그 구판(26ft·142kWh)과 불일치라 교차검증 False"
